Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Urban_or_Rural_Area,Incident Reports,Environmental Impact,Public Transport Usage,Road condition,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather,Roadwork and Construction Activity,Cities
29106,43.56398794,1.5,90.40985493,100,Urban,3,108.212,53.05050587,Dry,99.602154,57.00420076,100,Fog,No,Iliamna
53217,37.57207491,1.5,100,100,Urban,5,156.434,33.65966098,Dry,75.02331811,54.69909699,102,Clear,No,Juneu
37584,45.88950597,1.5,100,100,Urban,2,125.168,15.97432255,Wet or damp,62.06726885,76.56773158,101,Fog,No,Kenaii
16676,53.52433335,1.175588568,47.15579429,78.63350743,Urban,2,83.352,38.62670611,Dry,66.9317728,57.82185213,92,Fog,No,Ketchikn
37509,51.51350986,1.5,100,100,Urban,1,125.018,63.04922773,Wet or damp,60.57573955,55.80363203,76,Overcast,No,King Salmon
6758,34.75612359,1.069280748,21.20369965,32.77504734,Urban,1,63.516,13.17128068,Wet or damp,74.98450459,81.29299579,200,Rain,No,Kodia
30209,31.14686403,1.5,100,100,Urban,2,110.418,48.19317525,Dry,97.65859235,69.30513189,90,Clear,Yes,Kottzebue
20375,40.06999065,1.337950124,58.38210538,100,Urban,0,90.75,18.27153793,Snow,87.86948661,81.44714234,113,Overcast,No,Mc Grath
15636,32.79429896,1.310565184,48.93607081,82.48757326,Urban,1,81.272,62.56097475,Dry,90.18171496,55.15619344,115,Overcast,No,Nome
23457,38.86905317,1.380024787,87.20214294,100,Urban,2,96.914,33.00651818,Dry,86.90073824,87.61872647,109,Clear,No,Northway
38925,33.52942618,1.5,100,100,Urban,1,127.85,53.27526443,Dry,64.04490704,54.20534031,106,Overcast,No,Palmer
9154,40.22618269,1.378899431,40.23335461,48.30378185,Urban,0,68.308,15.84505017,Dry,91.08587664,77.92021249,197,Clear,No,Petersburg
24968,36.72769056,1.298417952,84.89404197,100,Urban,1,99.936,70.80193897,Dry,68.94383354,98.16112697,82,Windy,No,Puntilla Lake
51459,27.32652437,1.5,100,100,Urban,0,152.918,29.66742327,Wet or damp,98.01645936,94.51318919,99,Clear,No,Shemya
28481,36.50393786,1.5,100,100,Urban,2,106.962,66.96565138,Wet or damp,87.3892469,58.13084697,116,Overcast,No,Sitka
10179,40.30824348,1.394910452,26.93833782,51.83630715,Urban,0,70.358,77.89400785,Dry,93.68475693,91.91643524,199,Clear,Yes,Skagway
46199,41.22849932,1.5,100,100,Urban,2,142.398,57.01904791,Dry,84.72512962,67.9081359,86,Clear,No,sevch
56242,52.55340842,1.5,100,100,Urban,0,162.484,12.01478734,Wet or damp,90.20549023,81.01547757,106,Clear,Yes,Talkeetna
20450,24.60767822,1.361663478,65.13177601,100,Urban,1,90.9,53.54606902,Dry,94.49454835,97.47603118,100,Clear,No,Tanana
13391,51.69672549,1.030345331,37.2142611,63.23545839,Urban,0,76.782,19.71790209,Dry,85.63498979,59.09400422,194,Clear,No,Utqiagvik (Barrow)
28369,29.40974507,1.5,86.33738401,100,Urban,1,106.738,35.49889027,Wet or damp,80.13669083,84.51974143,104,Overcast,No,Yakutat
31228,42.5750771,1.5,97.78375372,100,Urban,2,112.456,35.82395477,Dry,78.50138865,87.37354691,73,Fog,No,Douglas Bisbee
34180,37.03463636,1.5,100,100,Urban,0,118.36,32.54554159,Wet or damp,68.45792028,66.37486761,103,Fog,No,Kingman
43569,40.38910044,1.5,100,100,Urban,1,137.138,55.21420689,Wet or damp,82.83113219,67.80483629,92,Clear,No,Phoenix
16342,39.54830801,1.35870617,46.07800825,81.9551139,Urban,0,82.684,78.76650318,Wet or damp,64.48155609,69.89277995,110,Clear,No,Tucson
19306,34.97953276,1.170174575,64.50554091,93.95409732,Urban,0,88.612,52.74340297,Dry,71.54522213,79.06191107,88,Clear,Yes,Winslow
16012,39.2310813,1.101856262,57.00338778,82.6622786,Urban,0,82.024,43.0103332,Dry,76.47363657,67.44341333,118,Windy,No,Fort Smith
49952,50.80134095,1.5,100,100,Urban,2,149.904,21.49860586,Wet or damp,92.58298881,83.25986103,101,Overcast,No,Harrison
33970,20,1.5,100,100,Urban,1,117.94,72.97022013,Dry,75.35564885,77.17764306,116,Clear,No,North Little Rock
17018,57.47327055,1.213384437,64.60451833,87.97597211,Urban,0,84.036,31.82054475,Wet or damp,69.93956559,87.19731463,108,Clear,No,Bakersfield
58920,25.21236284,1.5,100,100,Urban,2,167.84,54.8803343,Dry,87.75793778,77.13622217,92,Clear,No,Bishop
46963,34.44415329,1.5,100,100,Urban,2,143.926,71.04867363,Dry,97.2847313,78.25665918,106,Clear,No,China Lake
18111,55.94191518,1.236510174,58.35005408,86.10261639,Urban,0,86.222,66.1997414,Wet or damp,60.18528092,66.67495858,97,Overcast,No,Concord
22491,42.39264835,1.180975806,67.78714041,100,Urban,0,94.982,39.32478147,Dry,96.59383604,68.11969496,102,Clear,No,Eureka
38924,23.93474091,1.5,100,100,Urban,2,127.848,62.49723293,Dry,68.39622372,94.90271447,90,Clear,No,Fresno
25165,20,1.5,82.69858827,100,Urban,1,100.33,22.73496913,Dry,94.47142484,97.30577311,96,Rain,No,Hayward
15871,57.71555095,1.010838397,47.34277657,76.66574797,Urban,1,81.742,17.28760074,Wet or damp,91.99664341,58.9272331,104,Clear,No,Long Beach
46556,46.59329803,1.5,100,100,Urban,2,143.112,15.98559716,Wet or damp,68.31545021,51.32661019,89,Clear,No,Los Angeles
22591,30.91538704,1.236117977,70.66460615,100,Urban,2,95.182,30.61260317,Dry,97.93813228,88.18028971,100,Fog,No,Red Bluff
20310,51.72257284,1.103155074,60.48712148,100,Urban,1,90.62,22.01755001,Dry,70.89229306,50.91953383,117,Clear,No,Redding
61024,44.82690984,1.5,100,100,Urban,2,172.048,36.81969698,Dry,80.75670821,52.34829834,89,Clear,No,Sacramento
28153,21.48315394,1.5,98.22425144,100,Urban,4,106.306,25.0458265,Wet or damp,61.2473254,63.11320221,103,Clear,No,Salinas
12965,62.70800636,1.275360959,41.91321344,62.28902033,Urban,2,75.93,29.05015961,Dry,83.60922667,68.04869485,198,Clear,No,San Diego
57145,45.62209851,1.5,100,100,Urban,1,164.29,79.13676056,Dry,97.76237359,51.97134057,89,Overcast,Yes,San Francisco
40516,34.19584226,1.5,100,100,Urban,1,131.032,51.73889149,Dry,69.20035349,56.02834429,82,Clear,No,Sandberg
22893,46.96554777,1.127501001,78.82782753,100,Urban,2,95.786,70.90692117,Dry,60.85077643,93.73508363,101,Fog,No,Santa Barbara
28470,20,1.5,97.45010926,100,Urban,3,106.94,61.63076111,Dry,69.55108583,55.52370566,96,Clear,No,Santa Maria
6965,47.34214733,1.153730659,26.80961232,32.00753888,Urban,2,63.93,39.2306543,Dry,95.1647323,97.23660111,199,Clear,No,Stockton
32668,51.21108558,1.5,100,100,Urban,1,115.336,23.05067835,Dry,91.18337894,67.50626296,97,Rain,No,Alamosa
24405,29.84255885,1.237175974,82.95172416,100,Urban,2,98.81,72.21236559,Dry,98.22605993,93.10638086,110,Clear,Yes,Colorado Springs
25768,25.49316209,1.5,85.81084803,100,Urban,2,101.536,69.58448398,Dry,79.80586108,74.02932887,103,Clear,No,Craig
34362,46.08703581,1.5,100,100,Urban,5,118.724,21.10235737,Wet or damp,95.23483037,93.59217639,87,Fog,No,Denver
12382,45.46436548,1.252725411,36.46940495,63.25005703,Urban,0,74.764,64.58917766,Dry,64.27922555,88.05139513,202,Clear,No,Grand Junction
50214,36.94089993,1.5,100,100,Urban,0,150.428,50.75193221,Dry,73.83532228,81.04577589,108,Fog,Yes,Pueblo
21131,44.34249739,1.273318151,69.35472079,100,Urban,1,92.262,41.5970917,Dry,66.54495285,89.74047744,106,Clear,No,Bridgeport
39110,23.53041371,1.5,100,100,Urban,2,128.22,78.87843536,Wet or damp,76.37336025,94.70496018,91,Clear,No,Windsor Locks
42022,34.71075116,1.5,100,100,Urban,5,134.044,12.27683256,Dry,96.83391391,80.83251573,109,Clear,No,Newark
36384,28.18948343,1.5,100,100,Urban,2,122.768,15.07128215,Dry,75.69974226,73.99694174,103,Rain,No,Wilmington
11033,44.52288644,1.096818006,46.50991853,51.58995543,Urban,0,72.066,53.2709014,Dry,88.09859882,77.98243417,201,Clear,Yes,Daytona Beach
16390,34.37367223,1.275785988,60.64506732,78.95150244,Urban,0,82.78,17.31974882,Wet or damp,85.45720998,85.32378632,78,Fog,No,Fort Lauderdale
65269,36.97599605,1.5,100,100,Urban,2,180.538,14.22464588,Dry,69.88412936,57.97723401,113,Windy,No,Gainesville
17926,66.42270359,1.22214542,64.1373689,86.91454741,Urban,3,85.852,57.61597697,Dry,62.88793636,51.53262511,92,Overcast,No,Jacksonville
22876,65.01737103,1.290103064,75.98671216,100,Urban,2,95.752,51.464523,Dry,96.49453382,60.53310945,104,Fog,No,Key West
49798,28.28376632,1.5,100,100,Urban,2,149.596,70.95249309,Dry,77.8122102,75.7408677,96,Clear,No,Miami
30323,27.91921134,1.5,93.69413988,100,Urban,1,110.646,15.14477231,Dry,66.7903162,75.98869743,95,Clear,No,Orlando
13356,65.76747984,1.33766818,50.63340306,67.63354364,Urban,1,76.712,17.83437336,Dry,70.78998446,52.8543428,201,Clear,No,Pensacola
38748,38.46488476,1.5,100,100,Urban,2,127.496,12.09815129,Dry,72.31719766,85.23403814,90,Windy,Yes,Tallahassee
34188,25.82840195,1.5,100,100,Urban,4,118.376,12.12709418,Dry,97.23794782,84.47633755,105,Rain,No,Tampa
32010,32.47619957,1.5,100,100,Urban,3,114.02,56.73153699,Dry,92.31383768,88.11425674,109,Overcast,No,Vero Beach
13903,30.59949117,1.158469077,50.25267747,68.40058101,Urban,0,77.806,26.62808916,Dry,74.93007167,61.36348136,174,Rain,No,West Palm Beach
34831,20,1.5,100,100,Urban,5,119.662,23.704459,Dry,60.302515,82.37373571,115,Overcast,Yes,Alma
14614,44.01660373,1.113949161,44.85913263,76.10025898,Urban,0,79.228,31.79153894,Dry,84.41335133,85.80753371,190,Clear,No,Athens
28195,38.19781934,1.5,95.32957773,100,Urban,4,106.39,54.32059629,Dry,98.05613369,80.08059101,110,Clear,No,Atlanta
43024,28.07094802,1.5,100,100,Urban,3,136.048,53.67015273,Dry,78.07070715,79.33042316,89,Overcast,No,Augusta
13224,61.23396562,1.218678965,38.71894192,65.02905996,Urban,0,76.448,44.77368012,Dry,99.51142081,56.82198763,208,Clear,No,Macon
31137,51.28396623,1.5,99.27321333,100,Urban,0,112.274,72.59336123,Dry,67.67469299,66.16857811,91,Clear,No,Savannah
60935,20,1.5,100,100,Urban,2,171.87,56.86408686,Dry,99.76557445,83.09195949,102,Clear,Yes,Hilo
39508,20.86285503,1.5,100,100,Urban,4,129.016,26.42494573,Dry,75.97263663,57.62080067,101,Clear,No,Honolulu
39400,33.47530164,1.5,100,100,Urban,0,128.8,31.21898492,Dry,70.5245028,68.00682037,84,Clear,No,Kahului
28165,59.92999517,1.5,100,100,Urban,4,106.33,67.22147959,Wet or damp,75.22493174,93.89871602,113,Fog,No,Kaunakakai
28609,26.01532018,1.5,92.28532786,100,Urban,2,107.218,70.34101376,Dry,96.91028762,74.35309594,103,Clear,No,Lihue
18780,43.13028697,1.010324763,55.30332578,98.53115112,Urban,0,87.56,77.60755128,Dry,77.29991513,65.59080665,100,Clear,No,Boise
27100,39.17190464,1.5,81.56032588,100,Urban,1,104.2,79.6406422,Dry,62.31122244,84.75176144,88,Clear,No,Lewiston
16397,54.12435249,1.249558335,55.19749594,81.24583384,Urban,0,82.794,72.06229507,Dry,77.99138595,59.73112559,96,Overcast,No,Pocatello
11423,20,1.007676911,33.27293084,59.71789823,Urban,0,72.846,47.4717092,Wet or damp,68.60807488,50.60603873,199,Clear,No,Chicago
10806,44.59911487,1.129870371,40.76714155,53.79018129,Urban,0,71.612,37.6133395,Dry,78.37787074,89.25082719,213,Rain,No,Moline
40629,28.94285077,1.5,100,100,Urban,2,131.258,46.28856154,Dry,66.00676003,86.87168844,100,Clear,Yes,Peoria
14197,57.98811325,1.118614233,44.31739793,73.73153531,Urban,1,78.394,22.18765347,Dry,63.93582599,83.01513599,212,Clear,Yes,Quincy
13734,60.01333652,1.082274905,38.20772836,69.82012968,Urban,1,77.468,47.12114933,Dry,61.67804894,98.42443888,213,Windy,No,Rockford
48585,38.592094,1.5,100,100,Urban,1,147.17,40.24538181,Dry,77.57619959,80.64697912,121,Clear,No,Springfield
35331,37.8257995,1.5,100,100,Urban,4,120.662,48.15188432,Dry,99.38678958,96.86940332,75,Clear,No,Evansville
31483,42.23613619,1.5,100,100,Urban,2,112.966,58.22197114,Wet or damp,94.93291663,81.8145677,108,Clear,Yes,Fort Wayne
24863,40.77188039,1.081614254,83.97836565,100,Urban,1,99.726,34.87691981,Dry,91.35167138,77.71132571,96,Clear,No,Indianapolis
37767,38.38720503,1.5,100,100,Urban,2,125.534,53.37125362,Wet or damp,74.21972042,89.70986656,84,Clear,No,South Bend
29583,53.86614646,1.5,100,100,Urban,3,109.166,15.39407954,Dry,62.34203717,66.71191593,109,Fog,No,Cedar Rapids
14566,26.33463383,1.035440172,42.96557239,73.81225294,Urban,3,79.132,39.48736373,Dry,85.44709459,89.2825809,180,Overcast,No,Des Moines
43533,23.80382567,1.5,100,100,Urban,0,137.066,68.21879306,Dry,70.9228324,75.90393831,94,Clear,No,Dubuque
19320,20,1.053391989,56.01203028,98.87939307,Urban,0,88.64,40.57954918,Dry,89.18032915,88.27564495,88,Clear,No,Sioux City
48094,26.07544161,1.5,100,100,Urban,1,146.188,63.15787837,Dry,77.9895937,88.83552785,81,Clear,Yes,Waterloo
21711,34.73359265,1.359933338,62.80646794,100,Urban,1,93.422,75.57757234,Dry,62.09031517,70.93966595,93,Windy,No,Concordia
31399,34.64358518,1.5,100,100,Urban,0,112.798,20.58727801,Dry,69.0126772,62.54833307,112,Clear,No,Dodge City
18517,45.86143883,1.183320257,61.41725908,89.2427454,Urban,2,87.034,42.36068927,Dry,76.47062166,82.54867336,101,Clear,No,Goodland
11371,51.02477209,1.103448334,31.1974604,55.15715065,Urban,1,72.742,24.34168919,Dry,95.11320313,93.97909275,218,Clear,No,Medicine Lodge
11938,37.64141551,1.363688082,40.56736929,59.66812508,Urban,0,73.876,55.97460733,Wet or damp,92.88412642,69.02100038,187,Clear,No,Topeka
55123,36.17721217,1.5,100,100,Urban,3,160.246,78.84650309,Dry,65.62846112,60.10078342,90,Rain,No,Wichita
52096,49.12220555,1.5,100,100,Urban,3,154.192,71.73494308,Wet or damp,77.09958752,58.11167029,101,Overcast,Yes,Covington
26541,38.0419292,1.5,89.2858751,100,Urban,2,103.082,42.1485638,Dry,74.31193061,74.71062236,111,Clear,No,Jackson
17216,35.77589816,1.180140392,62.36319341,87.59147585,Urban,1,84.432,68.90132872,Dry,78.8514867,98.9552469,104,Rain,No,Lexington
19195,50.24264678,1.33481645,59.5688551,97.4038191,Urban,1,88.39,31.37174737,Dry,68.50577505,51.65946773,94,Overcast,No,Louisville
24545,51.50381789,1.224176252,74.03645605,100,Urban,3,99.09,78.376023,Dry,64.42882373,71.12742142,117,Overcast,No,Paducah
56258,45.85982116,1.5,100,100,Urban,1,162.516,59.25801842,Dry,81.62793907,54.82672351,92,Clear,No,Baton Rouge
32100,26.36048779,1.5,97.96285672,100,Urban,4,114.2,15.52784135,Dry,69.5804068,89.72891394,101,Overcast,No,Lake Charles
6265,51.41930535,1.33171472,28.46291134,32.04272352,Urban,0,62.53,40.12991872,Dry,72.67786351,71.72979804,212,Overcast,No,New Orleans
35956,42.82870244,1.5,100,100,Urban,2,121.912,76.53717368,Dry,84.02604266,87.17969581,100,Clear,No,Shreveport
38339,20,1.5,100,100,Urban,1,126.678,46.16008399,Dry,60.22023197,50.38320163,91,Clear,No,Slidell
28132,33.19510211,1.5,91.71363416,100,Urban,1,106.264,34.16562,Dry,80.29647755,93.71112623,100,Windy,No,Bangor
16393,29.15864057,1.363044401,58.92398622,83.04405214,Urban,0,82.786,67.6653269,Dry,98.20242046,91.05991413,78,Clear,No,Caribou
9696,37.80846681,1.04841,30.6989558,50.99178048,Urban,0,69.392,15.61260099,Dry,74.19085167,97.08628558,207,Clear,No,Portland
21620,52.589386,1.349479437,76.54612778,100,Urban,1,93.24,47.37772308,Dry,65.68548495,50.58533054,98,Clear,No,Baltimore
20081,52.32649361,1.291669395,69.98249964,100,Urban,1,90.162,57.10766357,Dry,71.01524697,65.31567494,109,Fog,No,Salisbury
40722,28.06813173,1.5,100,100,Urban,3,131.444,21.68021412,Dry,77.22117354,57.1297072,114,Clear,Yes,Boston
13316,36.94129934,1.270848256,46.50225166,65.22593728,Urban,0,76.632,79.16251763,Dry,78.16006485,84.41371179,182,Clear,No,Milton
4901,41.38188661,1.009340839,21.46093895,24.09023009,Urban,0,59.802,73.00582281,Dry,64.64555841,97.79594145,192,Rain,No,Worcester
45841,20.1372297,1.5,100,100,Urban,1,141.682,47.91933687,Dry,90.4760725,91.6824981,98,Clear,No,Alpena
14041,52.47910256,1.23218704,39.58726736,69.64543749,Urban,1,78.082,38.12451605,Wet or damp,99.75393556,94.01573811,205,Rain,No,Detroit
11644,29.97029672,1.091099894,48.09391028,62.31454611,Urban,1,73.288,70.89784118,Dry,65.22609375,89.52548971,181,Clear,No,Flint
29959,38.90522898,1.5,100,100,Urban,1,109.918,24.22561638,Dry,90.47192766,69.32702534,100,Clear,No,Grand Rapids
37666,35.89580681,1.5,100,100,Urban,4,125.332,71.84253341,Dry,77.93276221,75.52162445,104,Clear,No,Houghton Lake
33681,39.07052287,1.5,100,100,Urban,2,117.362,77.02136133,Dry,60.3545314,99.89104278,105,Clear,Yes,Lansing
47091,46.82453827,1.5,100,100,Urban,1,144.182,44.13394668,Dry,63.10597339,70.37715155,97,Clear,No,Marquette
44425,37.13293707,1.5,100,100,Urban,2,138.85,15.10312848,Dry,76.11493131,64.7645247,92,Overcast,No,Muskegon
50941,20,1.5,100,100,Urban,4,151.882,72.20613562,Wet or damp,80.12335803,72.4674871,102,Clear,No,Sault Ste Marie
28429,40.05470159,1.5,95.81335268,100,Urban,1,106.858,28.99865663,Dry,79.86781691,64.21370465,87,Clear,No,Duluth
8373,45.15378981,1.110467823,32.04952975,37.49189622,Urban,1,66.746,27.27767084,Dry,89.63616225,65.81350749,179,Clear,No,International Falls
29521,44.44971665,1.5,100,100,Urban,1,109.042,58.09134866,Dry,79.75256162,69.38244027,104,Clear,No,Minneapolis
43778,45.58484544,1.5,100,100,Urban,1,137.556,35.20353261,Wet or damp,98.27199262,75.02005729,98,Clear,No,Rochester
11546,59.52467534,1.328871955,45.49362669,54.84994055,Urban,1,73.092,71.61097165,Dry,68.62962717,83.89066002,204,Clear,No,St Cloud
28643,27.38592457,1.5,89.46097216,100,Urban,1,107.286,14.06643665,Dry,64.46048849,75.79309514,93,Clear,No,Greenville
14771,35.05650625,1.197145834,47.32246161,74.16437678,Urban,0,79.542,10.69466748,Dry,78.56380638,98.17496204,201,Clear,No,Greenwood
13672,50.91814134,1.048082892,40.88498999,63.53552363,Urban,0,77.344,64.11993117,Dry,80.71842111,67.40477966,195,Clear,No,Gulfport
38680,41.76966387,1.5,100,100,Urban,1,127.36,25.97647544,Dry,69.8641454,74.20385349,108,Clear,No,Hattiesburg
22675,39.02191614,1.05632118,78.03160616,100,Urban,1,95.35,66.7786639,Dry,85.43818829,69.40828531,105,Clear,No,Meridian
24990,51.19926332,1.02488129,76.24606089,100,Urban,2,99.98,77.05538847,Dry,81.18638896,62.09466471,100,Clear,No,Tupelo
43308,34.16966397,1.5,100,100,Urban,1,136.616,69.05547648,Dry,99.24770117,89.6571437,112,Windy,No,Cape Girardeau
30048,21.36825995,1.5,91.62163124,100,Urban,3,110.096,76.0591115,Dry,98.40542418,76.07298194,89,Fog,No,Columbia
29980,50.62255132,1.5,90.17539567,100,Urban,2,109.96,54.40545822,Dry,68.88303483,66.08349948,112,Clear,No,Kansas City
27611,38.38993685,1.5,87.81436544,100,Urban,2,105.222,63.27055464,Dry,74.86896266,69.62290931,123,Clear,No,Rolla/Vichy
25136,22.55168762,1.5,78.59464492,100,Urban,1,100.272,45.41705354,Dry,68.83411132,51.94649817,72,Overcast,No,St Joseph
37647,61.34222044,1.5,100,100,Urban,4,125.294,64.62558521,Dry,79.05342933,74.87699261,90,Clear,No,St Louis
24022,52.09641291,1.163764829,86.29090495,100,Urban,3,98.044,20.61165524,Wet or damp,95.03532334,76.95472764,93,Clear,No,Billings
21972,45.34152417,1.389231265,67.76250662,100,Urban,0,93.944,26.12916635,Wet or damp,60.05895288,86.4672397,129,Rain,No,Butte
32388,25.18834469,1.5,100,100,Urban,5,114.776,51.34464838,Dry,86.44057017,53.92279082,101,Clear,No,Cut Bank
22823,52.92934853,1.285769666,81.25677232,100,Urban,2,95.646,75.30474038,Wet or damp,93.10025279,84.8604691,106,Overcast,No,Dillon
55355,28.82746813,1.5,100,100,Urban,5,160.71,76.2963467,Dry,79.85035012,69.02588549,89,Fog,No,Glasgow
35758,39.5479517,1.5,100,100,Urban,3,121.516,45.33569188,Dry,88.73815789,93.13202356,89,Clear,No,Great Falls
34084,26.37224236,1.5,100,100,Urban,2,118.168,53.74118697,Dry,82.86983933,91.64151884,116,Rain,Yes,Havre
22499,29.84904657,1.133619986,79.65064768,100,Urban,0,94.998,64.86318897,Dry,71.43033298,71.63834398,105,Clear,No,Helena
34920,21.73952314,1.5,100,100,Urban,1,119.84,40.24132493,Dry,99.21474964,53.37512733,100,Windy,No,Kalispell
34071,52.0152107,1.5,100,100,Urban,1,118.142,43.81277883,Dry,70.74135024,64.37308324,103,Clear,No,Miles City
9673,58.40461052,1.259401928,27.59137389,43.51610684,Urban,1,69.346,57.32184016,Dry,88.2651948,80.50037085,192,Clear,No,Missoula
29570,37.76793449,1.5,100,100,Urban,2,109.14,50.80482398,Dry,70.12406157,72.51271231,125,Overcast,No,Grand Island
56542,33.59072086,1.5,100,100,Urban,1,163.084,40.40823233,Dry,88.93791271,50.45270808,103,Rain,No,Lincoln
12718,50.67941743,1.005498222,37.36085854,60.73406483,Urban,0,75.436,27.32918392,Dry,62.50105183,72.94702583,210,Rain,Yes,Norfolk
23607,53.87290837,1.20857961,70.05917439,100,Urban,3,97.214,35.79142439,Dry,95.81384357,83.32315238,109,Rain,No,North Platte
37614,36.84247914,1.5,100,100,Urban,1,125.228,11.53393301,Dry,72.04184311,75.13156213,79,Overcast,No,Omaha
32230,43.13205187,1.5,100,100,Urban,0,114.46,22.99526934,Dry,86.5687754,94.08453059,110,Clear,No,Scottsbluff
21898,57.44679581,1.14275439,70.06911651,100,Urban,4,93.796,34.80974642,Dry,80.22536614,97.05604063,113,Clear,No,Sidney
63687,39.82687887,1.5,100,100,Urban,2,177.374,57.15517922,Dry,67.17013023,84.69747953,91,Clear,Yes,Valentine
12718,49.24966116,1.141708531,34.50024302,60.81361305,Urban,0,75.436,52.54268782,Dry,69.81409257,52.88660796,195,Clear,No,Ely
34242,20,1.5,100,100,Urban,1,118.484,45.00789265,Dry,76.4783238,93.52634831,104,Clear,No,Las Vegas
18866,36.93932441,1.082500846,60.72385413,98.28674778,Urban,0,87.732,45.54635448,Dry,76.77086645,50.90620205,109,Clear,No,Mercury
10280,62.58620484,1.334447081,40.69443392,54.83326168,Urban,0,70.56,33.35398771,Dry,91.6623281,72.56470565,185,Overcast,No,Reno
13448,54.40696144,1.216704386,54.18798291,62.90564728,Urban,1,76.896,36.28282499,Dry,92.15258181,71.67361164,192,Clear,No,Winnemucca
17523,42.17153454,1.262691794,62.5853131,82.69863682,Urban,0,85.046,56.31790019,Dry,79.35957473,50.26567378,110,Clear,Yes,Mt. Washington
38113,42.89056687,1.5,100,100,Urban,1,126.226,53.43316495,Dry,89.69012749,58.4940503,90,Fog,No,Atlantic City
38352,38.10591259,1.5,100,100,Urban,1,126.704,60.14779784,Dry,70.83770793,60.11270903,94,Clear,No,Albuquerque
14092,60.19283924,1.328732379,50.16354871,73.42241451,Urban,0,78.184,58.46512457,Dry,70.56247939,96.95342397,206,Clear,No,Clayton
26948,41.178748,1.5,93.06604556,100,Urban,2,103.896,16.18694629,Dry,87.95795314,68.41736069,98,Clear,Yes,Roswell
18286,42.36551784,1.129210938,68.91171707,95.31118189,Urban,0,86.572,73.0672627,Wet or damp,99.84630694,91.27078321,112,Clear,Yes,Albany
56645,26.88742881,1.5,100,100,Urban,2,163.29,38.78340626,Dry,65.20322679,51.12129446,96,Clear,No,Binghamton
28669,41.29749878,1.5,86.34209367,100,Urban,4,107.338,50.66652659,Dry,99.62716628,87.83650835,98,Clear,No,Buffalo
35174,40.60481399,1.5,100,100,Urban,6,120.348,41.83350398,Dry,86.99145209,83.87658069,96,Clear,No,Glens Falls
16461,61.85014279,1.071742404,58.97278291,81.85671992,Urban,1,82.922,21.88099,Dry,60.76579472,88.95512932,103,Overcast,No,Islip
32690,31.87457263,1.5,100,100,Urban,3,115.38,13.63925464,Dry,61.26975061,71.16675721,83,Overcast,No,New York
25259,26.9568424,1.5,79.92705765,100,Urban,1,100.518,72.81561061,Dry,84.90522134,98.66913096,99,Clear,No,Syracuse
33372,38.08450108,1.5,100,100,Urban,1,116.744,24.75551711,Dry,69.17463108,73.45536055,93,Clear,No,Asheville
14390,34.57955588,1.093002397,40.56024623,69.51463061,Urban,0,78.78,57.17959457,Dry,62.50259369,60.52534698,214,Clear,No,Cape Hatteras
11081,43.49895778,1.225363346,43.01276448,51.77648488,Urban,0,72.162,45.38561323,Dry,65.76315144,81.19992428,190,Clear,No,Charlotte
