Accident_Index,year,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Cities
BS0000034,2024,Give way or uncontrolled,T or staggered junction,Slight,51.507802,Darkness - lights lit,None,-0.202966,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.679861111,Urban,Fine no high winds,Car,Talkeetna
BS0000035,2024,Auto traffic signal,T or staggered junction,Slight,51.508972,Darkness - lights lit,None,-0.197156,1,1,Metropolitan Police,Dry,Single carriageway,30,0.857638889,Urban,Fine no high winds,Car,Tanana
BS0000036,2024,Auto traffic signal,T or staggered junction,Slight,51.513036,Daylight,None,-0.204201,1,1,Metropolitan Police,Dry,Single carriageway,30,0.560416667,Urban,Fine no high winds,Car,Utqiagvik (Barrow)
BS0000037,2024,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,None,-0.206531,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.458333333,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Yakutat
BS0000038,2024,Give way or uncontrolled,T or staggered junction,Serious,51.491908,Daylight,None,-0.192787,1,1,Metropolitan Police,Dry,Single carriageway,30,0.479166667,Urban,Fine no high winds,Car,Douglas Bisbee
BS0000039,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497811,Daylight,None,-0.202351,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.385416667,Urban,Raining no high winds,Car,Kingman
BS0000040,2024,Give way or uncontrolled,T or staggered junction,Slight,51.486273,Daylight,None,-0.171549,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.46875,Urban,Raining no high winds,Car,Phoenix
BS0000041,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500738,Daylight,None,-0.193879,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.46875,Urban,Fine no high winds,Car,Tucson
BS0000042,2024,Give way or uncontrolled,T or staggered junction,Slight,51.50012,Daylight,None,-0.1599,1,2,Metropolitan Police,Dry,Single carriageway,30,0.611111111,Urban,Fine no high winds,Car,Winslow
BS0000043,2024,Give way or uncontrolled,T or staggered junction,Slight,51.49209,Daylight,None,-0.192924,1,1,Metropolitan Police,Dry,One way street,30,0.415277778,Urban,Fine no high winds,Car,Fort Smith
BS0000044,2024,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,None,-0.160698,1,2,Metropolitan Police,Wet or damp,One way street,30,0.340277778,Urban,Fine no high winds,Car,Harrison
BS0000045,2024,Auto traffic signal,Roundabout,Slight,51.504672,Daylight,None,-0.215914,1,2,Metropolitan Police,Dry,Dual carriageway,30,0.352777778,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t,North Little Rock
BS0000046,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506379,Darkness - lights lit,None,-0.204031,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.828472222,Urban,Raining no high winds,Car,Bakersfield
BS0000047,2024,Give way or uncontrolled,T or staggered junction,Slight,51.480175,Daylight,None,-0.178417,1,2,Metropolitan Police,Dry,Single carriageway,30,0.586805556,Urban,Fine no high winds,Motorcycle 125cc and under,Bishop
BS0000048,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.491836,Darkness - lights lit,None,-0.159225,1,1,Metropolitan Police,Dry,Single carriageway,30,0.996527778,Urban,Fine no high winds,Car,China Lake
BS0000049,2024,Auto traffic signal,Crossroads,Slight,51.516717,Daylight,None,-0.209678,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.357638889,Urban,Fine no high winds,Car,Concord
BS0000050,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.490115,Daylight,None,-0.193146,1,2,Metropolitan Police,Dry,Single carriageway,30,0.328472222,Urban,Fine no high winds,Car,Eureka
BS0000051,2024,Auto traffic signal,T or staggered junction,Slight,51.508943,Daylight,None,-0.195284,1,1,Metropolitan Police,Dry,Single carriageway,30,0.5,Urban,Fine no high winds,Car,Fresno
BS0000052,2024,Auto traffic signal,T or staggered junction,Slight,51.493264,Daylight,None,-0.199072,1,2,Metropolitan Police,Dry,Dual carriageway,30,0.350694444,Urban,Fine no high winds,Car,Hayward
BS0000053,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.484765,Darkness - lights lit,None,-0.155621,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.879166667,Urban,Fine no high winds,Car,Long Beach
BS0000054,2024,Auto traffic signal,T or staggered junction,Slight,51.481746,Daylight,None,-0.17533,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.297916667,Urban,Fine no high winds,Car,Los Angeles
BS0000055,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.487666,Darkness - lights lit,None,-0.180135,2,1,Metropolitan Police,Dry,Single carriageway,30,0.8625,Urban,Fine no high winds,Car,Red Bluff
BS0000056,2024,Give way or uncontrolled,T or staggered junction,Slight,51.501516,Darkness - lights lit,None,-0.191831,1,1,Metropolitan Police,Dry,Single carriageway,30,0.024305556,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Redding
BS0000057,2024,Give way or uncontrolled,T or staggered junction,Slight,51.487794,Daylight,None,-0.182579,1,2,Metropolitan Police,Dry,One way street,30,0.427083333,Urban,Fine no high winds,Car,Sacramento
BS0000058,2024,Give way or uncontrolled,T or staggered junction,Slight,51.502058,Darkness - lights lit,None,-0.18619,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.701388889,Urban,Snowing no high winds,Car,Salinas
BS0000059,2024,Auto traffic signal,T or staggered junction,Slight,51.500994,Daylight,None,-0.193004,1,1,Metropolitan Police,Dry,Single carriageway,30,0.513888889,Urban,Fine no high winds,Car,San Diego
BS0000060,2024,Give way or uncontrolled,Roundabout,Slight,51.523977,Darkness - lights lit,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,0.96875,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,San Francisco
BS0000061,2024,Give way or uncontrolled,Crossroads,Slight,51.484368,Daylight,None,-0.170473,1,1,Metropolitan Police,Dry,Single carriageway,30,0.652777778,Urban,Fine no high winds,Car,Sandberg
BS0000062,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501169,Darkness - lights lit,None,-0.192709,1,1,Metropolitan Police,Dry,Single carriageway,30,0.698611111,Urban,Fine no high winds,Car,Santa Barbara
BS0000063,2024,Give way or uncontrolled,T or staggered junction,Slight,51.48299,Daylight,None,-0.185939,2,2,Metropolitan Police,Dry,Single carriageway,30,0.517361111,Urban,Fine no high winds,Car,Santa Maria
BS0000064,2024,Give way or uncontrolled,Roundabout,Slight,51.515582,Daylight,None,-0.205975,1,2,Metropolitan Police,Dry,Roundabout,30,0.557638889,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Stockton
BS0000065,2024,Give way or uncontrolled,T or staggered junction,Serious,51.48375,Darkness - lights lit,None,-0.165456,1,2,Metropolitan Police,Dry,Single carriageway,30,0.729166667,Urban,Fine no high winds,Car,Alamosa
BS0000066,2024,Give way or uncontrolled,T or staggered junction,Slight,51.490919,Darkness - lights lit,None,-0.181158,1,2,Metropolitan Police,Dry,Single carriageway,30,0.954861111,Urban,Fine no high winds,Car,Colorado Springs
BS0000067,2024,Give way or uncontrolled,T or staggered junction,Slight,51.500731,Daylight,None,-0.193447,1,2,Metropolitan Police,Dry,Dual carriageway,30,0.670138889,Urban,Fine no high winds,Car,Craig
BS0000068,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.513804,Daylight,None,-0.213251,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.358333333,Urban,Other,Car,Denver
BS0000069,2024,Give way or uncontrolled,T or staggered junction,Slight,51.494663,Darkness - lights lit,None,-0.190661,1,2,Metropolitan Police,Dry,Single carriageway,30,0.90625,Urban,Fine no high winds,Car,Grand Junction
BS0000070,2024,Give way or uncontrolled,T or staggered junction,Slight,51.497543,Daylight,None,-0.16764,1,2,Metropolitan Police,Dry,Dual carriageway,30,0.371527778,Urban,Fine no high winds,Car,Pueblo
BS0000071,2024,Give way or uncontrolled,Crossroads,Slight,51.517475,Daylight,None,-0.206333,2,2,Metropolitan Police,Dry,Single carriageway,30,0.354166667,Urban,Fine no high winds,Car,Bridgeport
BS0000072,2024,Give way or uncontrolled,Crossroads,Slight,51.485759,Darkness - lights lit,None,-0.173154,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.847222222,Urban,Raining no high winds,Motorcycle over 500cc,Windsor Locks
BS0000073,2024,Give way or uncontrolled,Mini-roundabout,Slight,51.517796,Daylight,None,-0.215545,3,2,Metropolitan Police,Dry,Roundabout,30,0.61875,Urban,Fine no high winds,Motorcycle 50cc and under,Newark
BS0000074,2024,Auto traffic signal,Crossroads,Slight,51.497048,Daylight,None,-0.159015,1,2,Metropolitan Police,Dry,Single carriageway,30,0.274305556,Urban,Fine no high winds,Car,Wilmington
BS0000075,2024,Give way or uncontrolled,T or staggered junction,Serious,51.497103,Darkness - lights lit,None,-0.168234,1,1,Metropolitan Police,Dry,Single carriageway,30,0.799305556,Urban,Fine no high winds,Motorcycle 125cc and under,Daytona Beach
BS0000076,2024,Give way or uncontrolled,T or staggered junction,Serious,51.512346,Darkness - lights lit,None,-0.21792,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.851388889,Urban,Raining no high winds,Taxi-Private hire car,Fort Lauderdale
BS0000077,2024,Auto traffic signal,Crossroads,Slight,51.485757,Daylight,None,-0.150108,1,2,Metropolitan Police,Dry,Single carriageway,30,0.479166667,Urban,Fine no high winds,Car,Gainesville
BS0000078,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500856,Daylight,None,-0.184076,1,2,Metropolitan Police,Dry,Single carriageway,30,0.541666667,Urban,Fine no high winds,Car,Jacksonville
BS0000079,2024,Auto traffic signal,Crossroads,Slight,51.492471,Daylight,None,-0.200112,1,2,Metropolitan Police,Dry,Single carriageway,30,0.560416667,Urban,Fine no high winds,Car,Key West
BS0000080,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518131,Daylight,None,-0.213947,1,2,Metropolitan Police,Dry,Single carriageway,30,0.645833333,Urban,Fine no high winds,Car,Miami
BS0000081,2024,Give way or uncontrolled,Roundabout,Serious,51.504784,Daylight,None,-0.21735,1,2,Metropolitan Police,Dry,Roundabout,30,0.5625,Urban,Fine no high winds,Car,Orlando
BS0000082,2024,Auto traffic signal,Crossroads,Slight,51.483345,Daylight,None,-0.185636,1,1,Metropolitan Police,Dry,One way street,30,0.701388889,Urban,Fine no high winds,Car,Pensacola
BS0000083,2024,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,None,-0.183275,1,3,Metropolitan Police,Dry,Single carriageway,30,0.444444444,Urban,Fine no high winds,Car,Tallahassee
BS0000084,2024,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,None,-0.160201,1,2,Metropolitan Police,Dry,Single carriageway,30,0.319444444,Urban,Fine no high winds,Car,Tampa
BS0000085,2024,Give way or uncontrolled,T or staggered junction,Slight,51.491935,Daylight,None,-0.194515,1,2,Metropolitan Police,Dry,One way street,30,0.540277778,Urban,Fine no high winds,Car,Vero Beach
BS0000086,2024,Give way or uncontrolled,T or staggered junction,Slight,51.482328,Darkness - lights lit,None,-0.172282,2,2,Metropolitan Police,Dry,Single carriageway,30,0.729166667,Urban,Fine no high winds,Car,West Palm Beach
BS0000087,2024,Auto traffic signal,Crossroads,Slight,51.481572,Daylight,None,-0.18153,1,2,Metropolitan Police,Dry,Single carriageway,30,0.711111111,Urban,Fine no high winds,Car,Alma
BS0000088,2024,Give way or uncontrolled,T or staggered junction,Slight,51.49892,Darkness - lights lit,None,-0.157931,1,2,Metropolitan Police,Dry,Single carriageway,30,0.760416667,Urban,Fine no high winds,Bus or coach (17 or more pass seats),Athens
BS0000089,2024,Give way or uncontrolled,Crossroads,Slight,51.490315,Daylight,None,-0.177005,1,1,Metropolitan Police,Dry,Single carriageway,30,0.661805556,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,Atlanta
BS0000090,2024,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,0.572916667,Urban,Fine no high winds,Car,Augusta
BS0000091,2024,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,0.258333333,Urban,Fine no high winds,Car,Macon
BS0000092,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493429,Daylight,None,-0.174864,1,2,Metropolitan Police,Dry,Single carriageway,30,0.522916667,Urban,Fine no high winds,Car,Savannah
BS0000093,2024,Give way or uncontrolled,Crossroads,Serious,51.488481,Daylight,None,-0.157488,1,2,Metropolitan Police,Dry,Single carriageway,30,0.361111111,Urban,Fine no high winds,Car,Hilo
BS0000094,2024,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,0.545138889,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Honolulu
BS0000095,2024,Give way or uncontrolled,T or staggered junction,Slight,51.483603,Daylight,None,-0.184906,1,2,Metropolitan Police,Dry,Single carriageway,30,0.729166667,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Kahului
BS0000096,2024,Auto traffic signal,T or staggered junction,Slight,51.486622,Daylight,None,-0.170814,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.295138889,Urban,Fine no high winds,Car,Kaunakakai
BS0000097,2024,Give way or uncontrolled,Crossroads,Slight,51.504966,Daylight,None,-0.194,1,1,Metropolitan Police,Dry,Single carriageway,30,0.552083333,Urban,Other,Car,Lihue
BS0000098,2024,Auto traffic signal,Crossroads,Slight,51.49566,Darkness - lights lit,None,-0.173766,1,1,Metropolitan Police,Dry,Single carriageway,30,0.958333333,Urban,Fine no high winds,Car,Boise
BS0000099,2024,Give way or uncontrolled,T or staggered junction,Serious,51.490535,Daylight,None,-0.173827,1,2,Metropolitan Police,Dry,Single carriageway,30,0.333333333,Urban,Fine no high winds,Bus or coach (17 or more pass seats),Lewiston
BS0000100,2024,Give way or uncontrolled,T or staggered junction,Slight,51.486213,Daylight,None,-0.173423,1,2,Metropolitan Police,Dry,Single carriageway,30,0.374305556,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Pocatello
BS0000101,2024,Give way or uncontrolled,T or staggered junction,Slight,51.506775,Daylight,None,-0.194649,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.361111111,Urban,Raining no high winds,Car,Chicago
BS0000102,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486977,Darkness - lights lit,None,-0.187941,1,3,Metropolitan Police,Dry,One way street,30,0.845833333,Urban,Fine no high winds,Car,Moline
BS0000103,2024,Give way or uncontrolled,T or staggered junction,Serious,51.509794,Daylight,None,-0.197988,1,1,Metropolitan Police,Dry,Single carriageway,30,0.625,Urban,Fine no high winds,Taxi-Private hire car,Peoria
BS0000104,2024,Auto traffic signal,Crossroads,Slight,51.492565,Darkness - lights lit,None,-0.200396,2,2,Metropolitan Police,Dry,Single carriageway,30,0.927083333,Urban,Fine no high winds,Motorcycle 125cc and under,Quincy
BS0000105,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486608,Daylight,None,-0.169951,1,3,Metropolitan Police,Dry,Single carriageway,30,0.680555556,Urban,Fine no high winds,Motorcycle 50cc and under,Rockford
BS0000106,2024,Give way or uncontrolled,Crossroads,Slight,51.485669,Daylight,None,-0.173157,1,2,Metropolitan Police,Dry,Single carriageway,30,0.427083333,Urban,Fine no high winds,Motorcycle 125cc and under,Springfield
BS0000107,2024,Give way or uncontrolled,T or staggered junction,Slight,51.488776,Daylight,None,-0.176346,1,2,Metropolitan Police,Dry,Single carriageway,30,0.34375,Urban,Fine no high winds,Motorcycle over 500cc,Evansville
BS0000108,2024,Auto traffic signal,Crossroads,Slight,51.48226,Daylight,None,-0.173725,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.675694444,Urban,Raining no high winds,Car,Fort Wayne
BS0000109,2024,Auto traffic signal,T or staggered junction,Serious,51.483642,Darkness - lights lit,None,-0.164308,1,1,Metropolitan Police,Dry,Single carriageway,30,0.820833333,Urban,Fine no high winds,Car,Indianapolis
BS0000110,2024,Give way or uncontrolled,Crossroads,Serious,51.491834,Darkness - lights lit,None,-0.164844,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.931944444,Urban,Raining no high winds,Car,South Bend
BS0000111,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491921,Daylight,None,-0.158934,1,1,Metropolitan Police,Dry,Single carriageway,30,0.591666667,Urban,Fine no high winds,Motorcycle 125cc and under,Cedar Rapids
BS0000112,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.520593,Daylight,None,-0.210247,1,1,Metropolitan Police,Dry,Single carriageway,30,0.328472222,Urban,Fine no high winds,Car,Des Moines
BS0000113,2024,Give way or uncontrolled,T or staggered junction,Slight,51.486624,Daylight,None,-0.170958,1,2,Metropolitan Police,Dry,Single carriageway,30,0.409722222,Urban,Fine no high winds,Car,Dubuque
BS0000114,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.516402,Daylight,None,-0.218482,1,2,Metropolitan Police,Dry,Single carriageway,30,0.659722222,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,Sioux City
BS0000115,2024,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,0.84375,Urban,Fine no high winds,Car,Waterloo
BS0000116,2024,Give way or uncontrolled,T or staggered junction,Slight,51.489744,Daylight,None,-0.175011,1,1,Metropolitan Police,Dry,Single carriageway,30,0.527777778,Urban,Fine no high winds,Car,Concordia
BS0000117,2024,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,None,-0.160201,1,1,Metropolitan Police,Dry,Single carriageway,30,0.416666667,Urban,Fine no high winds,Car,Dodge City
BS0000118,2024,Give way or uncontrolled,T or staggered junction,Slight,51.506957,Daylight,None,-0.194786,1,1,Metropolitan Police,Dry,Single carriageway,30,0.229166667,Urban,Fine no high winds,Car,Goodland
BS0000119,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.493541,Daylight,None,-0.182062,1,1,Metropolitan Police,Dry,Single carriageway,30,0.270833333,Urban,Fine no high winds,Car,Medicine Lodge
BS0000120,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486183,Daylight,None,-0.183075,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.722916667,Urban,Raining no high winds,Car,Topeka
BS0000121,2024,Give way or uncontrolled,T or staggered junction,Slight,51.497815,Darkness - lights lit,None,-0.202639,1,2,Metropolitan Police,Dry,Single carriageway,30,0.825694444,Urban,Fine no high winds,Car,Wichita
BS0000122,2024,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,51.502755,Daylight,None,-0.196393,2,4,Metropolitan Police,Wet or damp,Single carriageway,30,0.690972222,Urban,Fine no high winds,Car,Covington
BS0000123,2024,Give way or uncontrolled,Crossroads,Slight,51.487635,Daylight,None,-0.17812,1,2,Metropolitan Police,Dry,Single carriageway,30,0.329861111,Urban,Fine no high winds,Car,Jackson
BS0000124,2024,Give way or uncontrolled,T or staggered junction,Slight,51.498814,Daylight,None,-0.179979,1,1,Metropolitan Police,Dry,Single carriageway,30,0.815972222,Urban,Fine no high winds,Car,Lexington
BS0000125,2024,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.501571,Daylight,None,-0.160706,1,2,Metropolitan Police,Dry,Single carriageway,30,0.625,Urban,Fine no high winds,Motorcycle over 500cc,Louisville
BS0000126,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493723,Daylight,None,-0.182199,1,1,Metropolitan Police,Dry,Single carriageway,30,0.374305556,Urban,Fine no high winds,Car,Paducah
BS0000127,2024,Give way or uncontrolled,T or staggered junction,Slight,51.482582,Daylight,None,-0.171264,1,2,Metropolitan Police,Dry,Single carriageway,30,0.302083333,Urban,Fine no high winds,Car,Baton Rouge
BS0000128,2024,Give way or uncontrolled,T or staggered junction,Slight,51.506189,Daylight,None,-0.209226,1,1,Metropolitan Police,Dry,Single carriageway,30,0.684027778,Urban,Fine no high winds,Car,Lake Charles
BS0000129,2024,Give way or uncontrolled,T or staggered junction,Slight,51.482902,Daylight,None,-0.186086,1,1,Metropolitan Police,Dry,Single carriageway,30,0.295138889,Urban,Fine no high winds,Car,New Orleans
BS0000130,2024,Auto traffic signal,T or staggered junction,Serious,51.513129,Daylight,None,-0.204342,1,2,Metropolitan Police,Dry,Single carriageway,30,0.302083333,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Shreveport
